target name	accession	query name	description of target
T3SS_ExsE	PF18286.4	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Type III secretion system ExsE             
HTH_Tnp_ISL3	PF13542.9	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Helix-turn-helix domain of transposase family ISL3            
HTH_10	PF04967.15	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	HTH DNA binding domain              
NACHT	PF05729.15	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	NACHT domain                
DUF2075	PF09848.12	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Schlafen group 3, DNA/RNA helicase domain            
MarR_2	PF12802.10	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	MarR family                
HTH_20	PF12840.10	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Helix-turn-helix domain                
TPR_2	PF07719.20	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Tetratricopeptide repeat                
KRTAP	PF11759.11	BGC0000625|c1|19243-22254|+|BAN83929.1|putative_LuxR_family_transcriptional_regulator|BAN83929.1	Keratin-associated matrix                
BTAD	PF03704.20	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Bacterial transcriptional activator domain              
TPR_12	PF13424.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
TPR_1	PF00515.31	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
Trans_reg_C	PF00486.31	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Transcriptional regulatory protein, C terminal             
NB-ARC	PF00931.25	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	NB-ARC domain                
TPR_7	PF13176.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
TPR_2	PF07719.20	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
TPR_10	PF13374.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
AAA_16	PF13191.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	AAA ATPase domain               
TPR_8	PF13181.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	Tetratricopeptide repeat                
ATPase_2	PF01637.21	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	ATPase domain predominantly from Archaea             
NACHT	PF05729.15	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	NACHT domain                
AAA_22	PF13401.9	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	AAA domain                
DnaB_C	PF03796.18	BGC0000625|c1|23354-26623|+|BAN83931.1|putative_AfsR_family_transcriptional_regulator|BAN83931.1	DnaB-like helicase C terminal domain             
DNA_pol_A	PF00476.23	BGC0000625|c1|26660-28345|-|BAN83932.1|DNA_polymerase_I|BAN83932.1	DNA polymerase family A              
Peptidase_M24	PF00557.27	BGC0000792|c1|778-1314|+|AAC35914.1|methionine_aminopeptidase_A|AAC35914.1	Metallopeptidase family M24               
Virul_fac_BrkB	PF03631.18	BGC0000792|c1|1558-2466|+|AAC35915.1|Orfde2|AAC35915.1	Virulence factor BrkB               
Glycos_transf_4	PF00953.24	BGC0000792|c1|2718-3710|+|AAC35916.1|Orfde3|AAC35916.1	Glycosyl transferase family 4              
Glycos_transf_2	PF00535.29	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyl transferase family 2              
Glyco_tranf_2_3	PF13641.9	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyltransferase like family 2              
Glyco_tranf_2_2	PF10111.12	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyltransferase like family 2              
Glyco_transf_7C	PF02709.17	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	N-terminal domain of galactosyltransferase              
Glyco_trans_2_3	PF13632.9	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyl transferase family group 2             
Glyco_tranf_2_5	PF13712.9	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyltransferase like family               
Glyco_transf_21	PF13506.9	BGC0000792|c1|3831-4670|+|AAC35917.1|putative_glycosyl_transferase|AAC35917.1	Glycosyl transferase family 21              
Glycos_transf_2	PF00535.29	BGC0000792|c1|4597-5445|+|AAC35918.1|putative_glycosyl_transferase|AAC35918.1	Glycosyl transferase family 2              
Glyco_trans_2_3	PF13632.9	BGC0000792|c1|4597-5445|+|AAC35918.1|putative_glycosyl_transferase|AAC35918.1	Glycosyl transferase family group 2             
Glycos_transf_2	PF00535.29	BGC0000792|c1|5577-6161|+|AAC35919.1|putative_glycosyl_transferase|AAC35919.1	Glycosyl transferase family 2              
Glyco_tranf_2_3	PF13641.9	BGC0000792|c1|5577-6161|+|AAC35919.1|putative_glycosyl_transferase|AAC35919.1	Glycosyltransferase like family 2              
NTP_transferase	PF00483.26	BGC0000792|c1|6283-7149|+|AAC35920.1|putative_glucose-1-phosphate_thymidyl_transferase|AAC35920.1	Nucleotidyl transferase                
NTP_transf_3	PF12804.10	BGC0000792|c1|6283-7149|+|AAC35920.1|putative_glucose-1-phosphate_thymidyl_transferase|AAC35920.1	MobA-like NTP transferase domain              
IspD	PF01128.22	BGC0000792|c1|6283-7149|+|AAC35920.1|putative_glucose-1-phosphate_thymidyl_transferase|AAC35920.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase               
dTDP_sugar_isom	PF00908.20	BGC0000792|c1|7162-7734|+|AAC35921.1|dTDP-4-dehydrorhamnose_3,5-epimerase|AAC35921.1	dTDP-4-dehydrorhamnose 3,5-epimerase                
GDP_Man_Dehyd	PF16363.8	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	GDP-mannose 4,6 dehydratase               
Epimerase	PF01370.24	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	NAD dependent epimerase/dehydratase family              
3Beta_HSD	PF01073.22	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	3-beta hydroxysteroid dehydrogenase/isomerase family              
NAD_binding_4	PF07993.15	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	Male sterility protein               
Polysacc_synt_2	PF02719.18	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	Polysaccharide biosynthesis protein               
RmlD_sub_bind	PF04321.20	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	RmlD substrate binding domain              
NAD_binding_10	PF13460.9	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	NAD(P)H-binding                 
Sacchrp_dh_NADP	PF03435.21	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	Saccharopine dehydrogenase NADP binding domain             
adh_short	PF00106.28	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	short chain dehydrogenase               
NmrA	PF05368.16	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	NmrA-like family                
KR	PF08659.13	BGC0000792|c1|7759-8787|+|AAC35922.1|putative_dTDP-glucose-4,6-dehydratase|AAC35922.1	KR domain                
RmlD_sub_bind	PF04321.20	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	RmlD substrate binding domain              
Epimerase	PF01370.24	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	NAD dependent epimerase/dehydratase family              
GDP_Man_Dehyd	PF16363.8	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	GDP-mannose 4,6 dehydratase               
NAD_binding_4	PF07993.15	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	Male sterility protein               
Polysacc_synt_2	PF02719.18	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	Polysaccharide biosynthesis protein               
3Beta_HSD	PF01073.22	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	3-beta hydroxysteroid dehydrogenase/isomerase family              
KR	PF08659.13	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	KR domain                
adh_short	PF00106.28	BGC0000792|c1|8823-9722|+|AAC35923.1|putative_dTDP-4-keto-L-rhamnose_reductase|AAC35923.1	short chain dehydrogenase               
Glycos_transf_2	PF00535.29	BGC0000792|c1|9781-10506|+|AAC35924.2|putative_glycosyl_transferase|AAC35924.2	Glycosyl transferase family 2              
Glyco_tranf_2_3	PF13641.9	BGC0000792|c1|9781-10506|+|AAC35924.2|putative_glycosyl_transferase|AAC35924.2	Glycosyltransferase like family 2              
Glyco_tranf_2_4	PF13704.9	BGC0000792|c1|9781-10506|+|AAC35924.2|putative_glycosyl_transferase|AAC35924.2	Glycosyl transferase family 2              
Glyco_tranf_2_2	PF10111.12	BGC0000792|c1|9781-10506|+|AAC35924.2|putative_glycosyl_transferase|AAC35924.2	Glycosyltransferase like family 2              
ABC2_membrane	PF01061.27	BGC0000792|c1|11518-12312|+|AAC35925.1|putative_ABC_transporter_permease|AAC35925.1	ABC-2 type transporter               
ABC_tran	PF00005.30	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	ABC transporter                
AAA_29	PF13555.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	P-loop containing region of AAA domain            
AAA_23	PF13476.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	AAA domain                
AAA_15	PF13175.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	AAA ATPase domain               
AAA_21	PF13304.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	AAA domain, putative AbiEii toxin, Type IV TA system         
SMC_N	PF02463.22	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	RecF/RecN/SMC N terminal domain              
NTPase_1	PF03266.18	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	NTPase                 
AAA_30	PF13604.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	AAA domain                
RsgA_GTPase	PF03193.19	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	RsgA GTPase                
NAAA-beta	PF15508.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	beta subunit of N-acylethanolamine-hydrolyzing acid amidase            
Dynamin_N	PF00350.26	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	Dynamin family                
AAA_22	PF13401.9	BGC0000792|c1|12325-13005|+|AAC35926.1|ABC_transporter_ATP-binding_protein|AAC35926.1	AAA domain                
Wzt_C	PF14524.9	BGC0000792|c1|13019-13543|+|AAC35927.1|Orfde13|AAC35927.1	Wzt C-terminal domain               
Methyltransf_23	PF13489.9	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methyltransferase domain                
MetW	PF07021.15	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methionine biosynthesis protein MetW              
Methyltransf_12	PF08242.15	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methyltransferase domain                
Methyltransf_11	PF08241.15	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methyltransferase domain                
Methyltransf_31	PF13847.9	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methyltransferase domain                
Methyltransf_25	PF13649.9	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Methyltransferase domain                
RrnaAD	PF00398.23	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	Ribosomal RNA adenine dimethylase              
Methyltransf_17	PF12692.10	BGC0000792|c1|13533-14714|+|AAC35928.1|Orfde14|AAC35928.1	S-adenosyl-L-methionine methyltransferase                
Glycos_transf_2	PF00535.29	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Glycosyl transferase family 2              
Glyco_tranf_2_3	PF13641.9	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Glycosyltransferase like family 2              
Glyco_tranf_2_2	PF10111.12	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Glycosyltransferase like family 2              
Glyco_trans_2_3	PF13632.9	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Glycosyl transferase family group 2             
Tk-SP_N-pro	PF18237.4	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Tk-SP N-propeptide domain               
Ku_C	PF03730.17	BGC0000792|c1|14936-16543|+|AAC35929.1|putative_glycosyl_transferase|AAC35929.1	Ku70/Ku80 C-terminal arm               
Glycos_transf_2	PF00535.29	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyl transferase family 2              
Glyco_tranf_2_3	PF13641.9	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyltransferase like family 2              
Glyco_tranf_2_2	PF10111.12	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyltransferase like family 2              
Glyco_tranf_2_5	PF13712.9	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyltransferase like family               
Glyco_transf_7C	PF02709.17	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	N-terminal domain of galactosyltransferase              
NusB	PF01029.21	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	NusB family                
Glyco_trans_2_3	PF13632.9	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyl transferase family group 2             
Glyco_transf_21	PF13506.9	BGC0000792|c1|16700-18817|+|AAC35930.1|putative_glycosyl_transferase|AAC35930.1	Glycosyl transferase family 21              
Pyr_redox_2	PF07992.17	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Pyridine nucleotide-disulphide oxidoreductase               
Reductase_C	PF14759.9	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Reductase C-terminal                
Pyr_redox	PF00070.30	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Pyridine nucleotide-disulphide oxidoreductase               
Pyr_redox_3	PF13738.9	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Pyridine nucleotide-disulphide oxidoreductase               
DAO	PF01266.27	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	FAD dependent oxidoreductase               
GIDA	PF01134.25	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Glucose inhibited division protein A             
NAD_binding_8	PF13450.9	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	NAD(P)-binding Rossmann-like domain               
NAD_binding_7	PF13241.9	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Putative NAD(P)-binding                
AlaDh_PNT_C	PF01262.24	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Alanine dehydrogenase/PNT, C-terminal domain              
FAD_binding_2	PF00890.27	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	FAD binding domain               
HI0933_like	PF03486.17	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	HI0933-like protein                
UDPG_MGDP_dh_N	PF03721.17	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain            
TrkA_N	PF02254.21	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	TrkA-N domain                
FAD_binding_3	PF01494.22	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	FAD binding domain               
Trp_halogenase	PF04820.17	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Tryptophan halogenase                
FAD_oxidored	PF12831.10	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	FAD dependent oxidoreductase               
Amino_oxidase	PF01593.27	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Flavin containing amine oxidoreductase              
3HCDH_N	PF02737.21	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain             
DUF371	PF04027.16	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Domain of unknown function (DUF371)             
Thi4	PF01946.20	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Thi4 family                
GFO_IDH_MocA	PF01408.25	BGC0000890|c1|1-1173|-|AHA34031.1|Bmp10,_Ferredoxin_Reductase|AHA34031.1	Oxidoreductase family, NAD-binding Rossmann fold             
Fer2	PF00111.30	BGC0000890|c1|1220-1540|-|AHA34032.1|Bmp9,_Ferredoxin|AHA34032.1	2Fe-2S iron-sulfur cluster binding domain             
Fer2_4	PF13510.9	BGC0000890|c1|1220-1540|-|AHA34032.1|Bmp9,_Ferredoxin|AHA34032.1	2Fe-2S iron-sulfur cluster binding domain             
CMD	PF02627.23	BGC0000890|c1|1549-2139|-|AHA34033.1|bmp8|AHA34033.1	Carboxymuconolactone decarboxylase family               
Abhydrolase_1	PF00561.23	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	alpha/beta hydrolase fold               
Abhydrolase_6	PF12697.10	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Alpha/beta hydrolase family               
Hydrolase_4	PF12146.11	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Serine aminopeptidase, S33               
PP-binding	PF00550.28	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Phosphopantetheine attachment site               
Abhydrolase_4	PF08386.13	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	TAP-like protein                
Ser_hydrolase	PF06821.16	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Serine hydrolase                
FSH1	PF03959.16	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Serine hydrolase (FSH1)               
Abhydrolase_11	PF20408.1	BGC0000890|c1|2372-3445|+|AHA34034.1|Bmp1,_ACP-TE_didomain|AHA34034.1	Alpha/beta hydrolase domain               
Trp_halogenase	PF04820.17	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Tryptophan halogenase                
FAD_binding_3	PF01494.22	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	FAD binding domain               
FAD_binding_2	PF00890.27	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	FAD binding domain               
Lycopene_cycl	PF05834.15	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Lycopene cyclase protein               
DAO	PF01266.27	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	FAD dependent oxidoreductase               
Pyr_redox_2	PF07992.17	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Pyridine nucleotide-disulphide oxidoreductase               
FAD_oxidored	PF12831.10	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	FAD dependent oxidoreductase               
GIDA	PF01134.25	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Glucose inhibited division protein A             
HI0933_like	PF03486.17	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	HI0933-like protein                
Pyr_redox_3	PF13738.9	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Pyridine nucleotide-disulphide oxidoreductase               
NAD_binding_8	PF13450.9	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	NAD(P)-binding Rossmann-like domain               
Thi4	PF01946.20	BGC0000890|c1|3445-4665|+|AHA34035.1|Bmp2,_Flavin-dependent_pyrroly-S-ACP_brominase|AHA34035.1	Thi4 family                
Acyl-CoA_dh_1	PF00441.27	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	Acyl-CoA dehydrogenase, C-terminal domain              
Acyl-CoA_dh_M	PF02770.22	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	Acyl-CoA dehydrogenase, middle domain              
Acyl-CoA_dh_N	PF02771.19	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	Acyl-CoA dehydrogenase, N-terminal domain              
Acyl-CoA_dh_2	PF08028.14	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	Acyl-CoA dehydrogenase, C-terminal domain              
HpaB_N	PF11794.11	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	4-hydroxyphenylacetate 3-hydroxylase N terminal              
DUF2007	PF09413.13	BGC0000890|c1|4675-5817|+|AHA34036.1|Bmp3,_Flavin-dependent_prolyl-S-ACP_dehydrogenase|AHA34036.1	Putative prokaryotic signal transducing protein             
AMP-binding	PF00501.31	BGC0000890|c1|5814-7361|+|AHA34037.1|Bmp4,_prolyl_adenylation_domain|AHA34037.1	AMP-binding enzyme                
AMP-binding_C	PF13193.9	BGC0000890|c1|5814-7361|+|AHA34037.1|Bmp4,_prolyl_adenylation_domain|AHA34037.1	AMP-binding enzyme C-terminal domain              
FMO-like	PF00743.22	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	Flavin-binding monooxygenase-like                
Pyr_redox_3	PF13738.9	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	Pyridine nucleotide-disulphide oxidoreductase               
Lys_Orn_oxgnase	PF13434.9	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase               
Pyr_redox_2	PF07992.17	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	Pyridine nucleotide-disulphide oxidoreductase               
NAD_binding_9	PF13454.9	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	FAD-NAD(P)-binding                 
NAD_binding_8	PF13450.9	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	NAD(P)-binding Rossmann-like domain               
DAO	PF01266.27	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	FAD dependent oxidoreductase               
Amino_oxidase	PF01593.27	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	Flavin containing amine oxidoreductase              
FAD_binding_2	PF00890.27	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	FAD binding domain               
Pyr_redox	PF00070.30	BGC0000890|c1|7408-8955|+|AHA34038.1|Bmp5,_Flavin-dependent_single-component_p-hydroxybenzoate_brominase/decarboxylase|AHA34038.1	Pyridine nucleotide-disulphide oxidoreductase               
